set_id,joke_number_in_set,timestamp,word
1,5,4:52,pussy
2,7,4:06,bitches
3,20,12:16,bitches
3,21,13:05,fucking
4,5,4:35,shit
4,6,5:13,bitch
4,6,5:20,assholes
4,6,5:33,dammit
4,8,6:23,shit
4,8,6:42,shit
4,9,7:16,shit
4,9,7:17,hell
4,9,7:36,ass
6,8,4:23,fucking
6,12,6:04,pussy
8,8,4:26,asshole
8,10,6:22,shit
8,11,6:43,bitch
8,11,6:44,fucking
9,16,5:34,shit
9,16,5:42,shit
9,17,6:03,jackass
9,17,6:09,dick
10,3,1:07,shit
10,10,4:34,cock
10,13,5:47,fuck
11,3,1:25,fuck
11,11,4:52,shit
11,12,6:33,fucking
11,13,7:09,jackass
11,14,7:38,fuck
11,15,8:13,whore
13,2,0:48,dumbass
13,4,2:00,dumbass
13,9,7:19,bitch
13,13,12:06,fuck
14,9,7:07,douchebag
14,10,7:44,fuck
14,15,11:48,fucking
15,1,0:48,bitches
16,8,3:29,piss
16,17,9:38,ass
18,1,0:28,hell
18,4,1:28,douche
18,9,3:23,fuck
18,15,6:40,shit
18,17,8:20,whore
18,18,8:43,fuckers
19,7,3:03,fuck
20,1,0:32,fuck
20,2,0:59,shit
20,3,1:33,fucking
20,3,1:41,shit
20,6,3:14,fuck
20,6,3:16,fuck
22,5,2:36,shitty
22,13,4:54,dammit
23,12,2:52,pussy
26,5,2:31,dick
28,6,2:27,shit
28,8,3:18,damn
28,16,6:40,fuck
29,15,9:23,hell
30,6,3:16,pissed
30,6,3:18,bitch
33,9,4:04,shit
33,9,4:51,fucking
33,11,11:30,fuck
36,6,2:34,fucking
36,7,2:45,shit
37,12,5:45,whore
38,18,3:19,ass
40,3,1:44,fucker
40,4,2:04,pissed
40,4,2:14,pissed
40,4,2:31,pissed
40,4,2:47,shit
40,23,10:26,ass
40,23,10:29,dick
40,23,11:06,shit
41,6,3:49,fuck
42,2,0:51,shit
42,2,0:58,fuck
42,3,1:51,fucking
42,3,1:55,damned
42,7,2:56,dick
42,9,3:55,bitch
42,9,3:56,ass
42,13,6:00,badass
42,14,6:19,badass
42,16,7:48,bitches
43,14,6:04,fucker
43,14,6:01,shit
43,15,6:13,fucker
43,17,7:21,fuck
43,21,10:41,shit
43,21,11:16,fuck
43,21,11:41,fuck
44,5,1:27,shit
44,7,2:47,clusterfuck
45,7,3:14,bitches
45,10,7:06,fucked
45,15,9:17,fuck
45,16,9:59,fuck
45,16,10:13,fuck
47,2,1:17,bitch
